t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,229,0,-94.2585,-30.4217,818.5306,0.2906,-0.3612,0.0365,0.8853,1878.0000,1880.0000,1855.0000,,,,
0.0136,229,0,-94.2585,-30.4217,818.5306,0.2906,-0.3612,0.0365,0.8853,1874.0000,1878.0000,1855.0000,,,,
0.0224,229,0,-94.2585,-30.4217,818.5306,0.2906,-0.3612,0.0365,0.8853,1873.0000,1875.0000,1855.0000,,,,
0.0351,229,0,-111.7396,-60.6968,825.6453,-0.0216,0.0458,-0.0282,0.9983,1874.0000,1869.0000,1855.0000,,,,
0.0435,229,0,-111.7396,-60.6968,825.6453,-0.0216,0.0458,-0.0282,0.9983,1875.0000,1865.0000,1855.0000,,,,
0.0544,229,0,-111.7396,-60.6968,825.6453,-0.0216,0.0458,-0.0282,0.9983,1878.0000,1859.0000,1855.0000,,,,
0.0670,229,0,-127.9818,-67.1108,813.8455,-0.1314,0.1259,0.0020,0.9833,1881.0000,1852.0000,1855.0000,,,,
0.0794,229,0,-127.9818,-67.1108,813.8455,-0.1314,0.1259,0.0020,0.9833,1884.0000,1845.0000,1855.0000,,,,
0.0904,229,0,-127.9818,-67.1108,813.8455,-0.1314,0.1259,0.0020,0.9833,1884.0000,1839.0000,1855.0000,,,,
0.1023,229,0,-196.5766,-52.6871,1028.3156,0.1272,0.3789,-0.0036,0.9166,1884.0000,1832.0000,1855.0000,,,,
0.1119,229,0,-196.5766,-52.6871,1028.3156,0.1272,0.3789,-0.0036,0.9166,1884.0000,1827.0000,1855.0000,,,,
0.1223,229,0,-196.5766,-52.6871,1028.3156,0.1272,0.3789,-0.0036,0.9166,1884.0000,1821.0000,1855.0000,,,,
0.1348,229,0,-196.5766,-52.6871,1028.3156,0.1272,0.3789,-0.0036,0.9166,1884.0000,1815.0000,1855.0000,,,,
0.1472,229,0,-128.5824,-36.1775,829.9412,0.1339,0.1452,-0.0465,0.9792,1884.0000,1809.0000,1855.0000,,,,
0.1590,229,0,-128.5824,-36.1775,829.9412,0.1339,0.1452,-0.0465,0.9792,1884.0000,1801.0000,1855.0000,,,,
0.1681,229,0,-128.5824,-36.1775,829.9412,0.1339,0.1452,-0.0465,0.9792,1884.0000,1796.0000,1855.0000,,,,
0.1792,229,0,-118.0143,-55.6843,827.1906,-0.0318,0.0493,-0.0267,0.9979,1884.0000,1789.0000,1855.0000,,,,
0.1912,229,0,-118.0143,-55.6843,827.1906,-0.0318,0.0493,-0.0267,0.9979,1884.0000,1783.0000,1855.0000,,,,
0.2031,229,0,-118.0143,-55.6843,827.1906,-0.0318,0.0493,-0.0267,0.9979,1884.0000,1776.0000,1855.0000,,,,
0.2152,229,0,-200.8112,-50.1915,927.0048,0.1411,0.3978,-0.0328,0.9060,1884.0000,1770.0000,1855.0000,,,,
0.2266,229,0,-200.8112,-50.1915,927.0048,0.1411,0.3978,-0.0328,0.9060,1884.0000,1762.0000,1855.0000,,,,
0.2351,229,0,-200.8112,-50.1915,927.0048,0.1411,0.3978,-0.0328,0.9060,1884.0000,1757.0000,1855.0000,,,,
0.2471,229,0,-199.5091,-45.9193,1068.6174,0.1831,0.2216,-0.0161,0.9577,1884.0000,1750.0000,1855.0000,,,,
0.2586,229,0,-199.5091,-45.9193,1068.6174,0.1831,0.2216,-0.0161,0.9577,1884.0000,1743.0000,1855.0000,,,,
0.2713,229,0,-199.5091,-45.9193,1068.6174,0.1831,0.2216,-0.0161,0.9577,1884.0000,1736.0000,1855.0000,,,,
0.2830,229,0,-121.8811,-56.6194,820.8215,-0.0290,0.0449,-0.0278,0.9982,1884.0000,1730.0000,1855.0000,,,,
0.2947,229,0,-121.8811,-56.6194,820.8215,-0.0290,0.0449,-0.0278,0.9982,1884.0000,1723.0000,1855.0000,,,,
0.3038,229,0,-121.8811,-56.6194,820.8215,-0.0290,0.0449,-0.0278,0.9982,1884.0000,1719.0000,1855.0000,,,,
0.3143,229,0,-121.8811,-56.6194,820.8215,-0.0290,0.0449,-0.0278,0.9982,1884.0000,1713.0000,1855.0000,,,,
0.3266,229,0,-135.1258,-57.0012,744.0535,-0.2175,0.2194,0.0295,0.9506,1884.0000,1706.0000,1855.0000,,,,
0.3392,229,0,-135.1258,-57.0012,744.0535,-0.2175,0.2194,0.0295,0.9506,1884.0000,1699.0000,1855.0000,,,,
0.3512,229,0,-135.1258,-57.0012,744.0535,-0.2175,0.2194,0.0295,0.9506,1884.0000,1692.0000,1855.0000,,,,
0.3590,229,0,10.3166,19.1320,237.5586,-0.4939,0.5031,0.6266,0.3323,1884.0000,1688.0000,1855.0000,,,,
0.3705,229,0,10.3166,19.1320,237.5586,-0.4939,0.5031,0.6266,0.3323,1884.0000,1683.0000,1855.0000,,,,
0.3830,229,0,10.3166,19.1320,237.5586,-0.4939,0.5031,0.6266,0.3323,1884.0000,1678.0000,1855.0000,,,,
0.3948,229,0,-48.3210,-88.7341,672.4213,-0.2660,-0.2449,-0.0926,0.9277,1884.0000,1673.0000,1855.0000,,,,
0.4072,229,0,-48.3210,-88.7341,672.4213,-0.2660,-0.2449,-0.0926,0.9277,1884.0000,1665.0000,1855.0000,,,,
0.4185,229,0,-48.3210,-88.7341,672.4213,-0.2660,-0.2449,-0.0926,0.9277,1884.0000,1658.0000,1855.0000,,,,
