t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0071,374,1,16.3490,42.0084,148.9034,-0.0581,0.0469,-0.1413,0.9872,2047.0000,2047.0000,2047.0000,,,,
0.0222,374,1,16.3490,42.0084,148.9034,-0.0581,0.0469,-0.1413,0.9872,2047.0000,2047.0000,2047.0000,,,,
0.0311,374,1,15.3353,48.4774,147.8765,-0.0767,0.0427,-0.1399,0.9863,2047.0000,2047.0000,2047.0000,,,,
0.0403,374,1,15.3353,48.4774,147.8765,-0.0767,0.0427,-0.1399,0.9863,2047.0000,2047.0000,2047.0000,,,,
0.0509,374,1,15.3353,48.4774,147.8765,-0.0767,0.0427,-0.1399,0.9863,2047.0000,2047.0000,2047.0000,,,,
0.0614,374,1,15.3353,48.4774,147.8765,-0.0767,0.0427,-0.1399,0.9863,2047.0000,2047.0000,2047.0000,,,,
0.0730,374,1,14.6508,53.6751,146.8584,-0.0919,0.0389,-0.1401,0.9851,2047.0000,2047.0000,2047.0000,,,,
0.0851,374,1,14.6508,53.6751,146.8584,-0.0919,0.0389,-0.1401,0.9851,2047.0000,2047.0000,2047.0000,,,,
0.0943,374,1,14.6508,53.6751,146.8584,-0.0919,0.0389,-0.1401,0.9851,2047.0000,2047.0000,2047.0000,,,,
0.1059,374,1,14.6479,57.5501,145.8925,-0.1036,0.0356,-0.1403,0.9840,2047.0000,2047.0000,2047.0000,,,,
0.1177,374,1,14.6479,57.5501,145.8925,-0.1036,0.0356,-0.1403,0.9840,2047.0000,2047.0000,2047.0000,,,,
0.1302,374,1,14.6479,57.5501,145.8925,-0.1036,0.0356,-0.1403,0.9840,2047.0000,2047.0000,2047.0000,,,,
0.1417,374,1,14.6479,57.5501,145.8925,-0.1036,0.0356,-0.1403,0.9840,2047.0000,2047.0000,2047.0000,,,,
0.1528,374,1,14.9600,58.6600,145.5684,-0.1074,0.0348,-0.1410,0.9836,2047.0000,2047.0000,2047.0000,,,,
0.1616,374,1,14.9600,58.6600,145.5684,-0.1074,0.0348,-0.1410,0.9836,2047.0000,2047.0000,2047.0000,,,,
0.1730,374,1,14.9600,58.6600,145.5684,-0.1074,0.0348,-0.1410,0.9836,2047.0000,2047.0000,2047.0000,,,,
0.1850,374,0,15.1876,58.7215,145.4613,-0.1076,0.0347,-0.1413,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.1979,374,0,15.1876,58.7215,145.4613,-0.1076,0.0347,-0.1413,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.2099,374,0,15.1876,58.7215,145.4613,-0.1076,0.0347,-0.1413,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.2177,374,0,15.1876,58.7215,145.4613,-0.1076,0.0347,-0.1413,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.2303,374,0,15.2005,58.6544,145.4491,-0.1076,0.0347,-0.1412,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.2412,374,0,15.2005,58.6544,145.4491,-0.1076,0.0347,-0.1412,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.2533,374,0,15.2005,58.6544,145.4491,-0.1076,0.0347,-0.1412,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.2654,374,0,15.3030,58.3645,145.5409,-0.1069,0.0352,-0.1411,0.9836,2047.0000,2047.0000,2047.0000,,,,
0.2745,374,0,15.3030,58.3645,145.5409,-0.1069,0.0352,-0.1411,0.9836,2047.0000,2047.0000,2047.0000,,,,
0.2855,374,0,15.3030,58.3645,145.5409,-0.1069,0.0352,-0.1411,0.9836,2047.0000,2047.0000,2047.0000,,,,
0.2978,374,0,15.3030,58.3645,145.5409,-0.1069,0.0352,-0.1411,0.9836,2047.0000,2047.0000,2047.0000,,,,
0.3096,374,0,15.2299,58.2803,145.6391,-0.1063,0.0351,-0.1411,0.9836,2047.0000,2047.0000,2047.0000,,,,
0.3217,374,0,15.2299,58.2803,145.6391,-0.1063,0.0351,-0.1411,0.9836,2047.0000,2047.0000,2047.0000,,,,
0.3343,374,0,15.2299,58.2803,145.6391,-0.1063,0.0351,-0.1411,0.9836,2047.0000,2047.0000,2047.0000,,,,
0.3432,374,0,15.1356,58.5382,145.7857,-0.1071,0.0348,-0.1414,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.3534,374,0,15.1356,58.5382,145.7857,-0.1071,0.0348,-0.1414,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.3654,374,0,15.1356,58.5382,145.7857,-0.1071,0.0348,-0.1414,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.3776,374,0,15.1356,58.5382,145.7857,-0.1071,0.0348,-0.1414,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.3895,374,0,14.8759,59.1135,145.6697,-0.1085,0.0345,-0.1407,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.4020,374,0,14.8759,59.1135,145.6697,-0.1085,0.0345,-0.1407,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.4098,374,0,14.8759,59.1135,145.6697,-0.1085,0.0345,-0.1407,0.9835,2047.0000,2047.0000,2047.0000,,,,
0.4212,374,0,15.1508,59.0887,145.6599,-0.1089,0.0342,-0.1400,0.9836,2047.0000,2047.0000,2047.0000,,,,
0.4333,374,0,15.1508,59.0887,145.6599,-0.1089,0.0342,-0.1400,0.9836,2047.0000,2047.0000,2047.0000,,,,
0.4455,374,0,15.1508,59.0887,145.6599,-0.1089,0.0342,-0.1400,0.9836,2047.0000,2047.0000,2047.0000,,,,
