t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.4871,79,0,-87.7626,-131.4111,218.1392,-0.0386,-0.0082,-0.0962,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.4996,79,0,-87.7626,-131.4111,218.1392,-0.0386,-0.0082,-0.0962,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.5112,79,0,-87.7626,-131.4111,218.1392,-0.0386,-0.0082,-0.0962,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.5233,79,0,-87.7626,-131.4111,218.1392,-0.0386,-0.0082,-0.0962,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.5321,79,0,-87.7626,-131.4111,218.1392,-0.0386,-0.0082,-0.0962,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.5435,79,0,-86.9804,-131.2901,219.1505,-0.0421,-0.0073,-0.0948,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.5555,79,0,-86.9804,-131.2901,219.1505,-0.0421,-0.0073,-0.0948,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.5668,79,0,-86.9804,-131.2901,219.1505,-0.0421,-0.0073,-0.0948,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.5798,79,0,-86.9804,-131.2901,219.1505,-0.0421,-0.0073,-0.0948,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.5881,79,0,-86.9804,-131.2901,219.1505,-0.0421,-0.0073,-0.0948,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.5993,79,0,-85.6491,-132.3055,219.8349,-0.0380,-0.0074,-0.0924,0.9950,2047.0000,2047.0000,2047.0000,,,,
0.6113,79,0,-85.6491,-132.3055,219.8349,-0.0380,-0.0074,-0.0924,0.9950,2047.0000,2047.0000,2047.0000,,,,
0.6235,79,0,-85.6491,-132.3055,219.8349,-0.0380,-0.0074,-0.0924,0.9950,2047.0000,2047.0000,2047.0000,,,,
0.6349,79,0,-85.6491,-132.3055,219.8349,-0.0380,-0.0074,-0.0924,0.9950,2047.0000,2047.0000,2047.0000,,,,
0.6467,79,0,-86.2636,-130.5275,219.6252,-0.0415,-0.0066,-0.0949,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.6555,79,0,-86.2636,-130.5275,219.6252,-0.0415,-0.0066,-0.0949,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.6674,79,0,-86.2636,-130.5275,219.6252,-0.0415,-0.0066,-0.0949,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.6799,79,0,-86.2636,-130.5275,219.6252,-0.0415,-0.0066,-0.0949,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.6915,79,0,-86.1016,-130.5850,219.8468,-0.0408,-0.0052,-0.0954,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.7038,79,0,-86.1016,-130.5850,219.8468,-0.0408,-0.0052,-0.0954,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.7122,79,0,-86.1016,-130.5850,219.8468,-0.0408,-0.0052,-0.0954,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.7231,79,0,-86.1016,-130.5850,219.8468,-0.0408,-0.0052,-0.0954,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.7356,79,0,-86.1016,-130.5850,219.8468,-0.0408,-0.0052,-0.0954,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.7469,79,0,-85.6892,-131.5115,219.5773,-0.0419,-0.0042,-0.0950,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.7592,79,0,-85.6892,-131.5115,219.5773,-0.0419,-0.0042,-0.0950,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.7715,79,0,-85.6892,-131.5115,219.5773,-0.0419,-0.0042,-0.0950,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.7797,79,0,-85.6892,-131.5115,219.5773,-0.0419,-0.0042,-0.0950,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.7918,79,0,-85.3074,-131.1772,219.8139,-0.0411,-0.0034,-0.0952,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.8034,79,0,-85.3074,-131.1772,219.8139,-0.0411,-0.0034,-0.0952,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.8159,79,0,-85.3074,-131.1772,219.8139,-0.0411,-0.0034,-0.0952,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.8275,79,0,-85.3074,-131.1772,219.8139,-0.0411,-0.0034,-0.0952,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.8393,79,0,-83.1434,-131.9138,224.2304,-0.0686,-0.0078,-0.0941,0.9932,2047.0000,2047.0000,2047.0000,,,,
0.8483,79,0,-83.1434,-131.9138,224.2304,-0.0686,-0.0078,-0.0941,0.9932,2047.0000,2047.0000,2047.0000,,,,
0.8594,79,0,-83.1434,-131.9138,224.2304,-0.0686,-0.0078,-0.0941,0.9932,2047.0000,2047.0000,2047.0000,,,,
0.8716,79,0,-83.1434,-131.9138,224.2304,-0.0686,-0.0078,-0.0941,0.9932,2047.0000,2047.0000,2047.0000,,,,
0.8836,79,0,-83.1434,-131.9138,224.2304,-0.0686,-0.0078,-0.0941,0.9932,2047.0000,2047.0000,2047.0000,,,,
0.8950,79,0,-85.3083,-130.6377,220.0972,-0.0410,-0.0030,-0.0966,0.9945,2047.0000,2047.0000,2047.0000,,,,
0.9052,79,0,-85.3083,-130.6377,220.0972,-0.0410,-0.0030,-0.0966,0.9945,2047.0000,2047.0000,2047.0000,,,,
0.9155,79,0,-85.3083,-130.6377,220.0972,-0.0410,-0.0030,-0.0966,0.9945,2047.0000,2047.0000,2047.0000,,,,
0.9272,79,0,-85.3083,-130.6377,220.0972,-0.0410,-0.0030,-0.0966,0.9945,2047.0000,2047.0000,2047.0000,,,,
0.9392,79,0,-84.0048,-131.0703,223.0430,-0.0526,-0.0022,-0.0948,0.9941,2047.0000,2047.0000,2047.0000,,,,
0.9520,79,0,-84.0048,-131.0703,223.0430,-0.0526,-0.0022,-0.0948,0.9941,2047.0000,2047.0000,2047.0000,,,,
0.9631,79,0,-84.0048,-131.0703,223.0430,-0.0526,-0.0022,-0.0948,0.9941,2047.0000,2047.0000,2047.0000,,,,
0.9722,79,0,-84.0048,-131.0703,223.0430,-0.0526,-0.0022,-0.0948,0.9941,2047.0000,2047.0000,2047.0000,,,,
0.9830,79,0,-84.0048,-131.0703,223.0430,-0.0526,-0.0022,-0.0948,0.9941,2047.0000,2047.0000,2047.0000,,,,
0.9952,79,0,-85.2924,-130.1332,220.9876,-0.0451,-0.0029,-0.0974,0.9942,2047.0000,2047.0000,2047.0000,,,,
1.0072,79,0,-85.2924,-130.1332,220.9876,-0.0451,-0.0029,-0.0974,0.9942,2047.0000,2047.0000,2047.0000,,,,
1.0195,79,0,-85.2924,-130.1332,220.9876,-0.0451,-0.0029,-0.0974,0.9942,2047.0000,2047.0000,2047.0000,,,,
1.0308,79,0,-85.2924,-130.1332,220.9876,-0.0451,-0.0029,-0.0974,0.9942,2047.0000,2047.0000,2047.0000,,,,
1.0402,79,0,-85.5105,-130.4102,220.5207,-0.0406,-0.0011,-0.0984,0.9943,2047.0000,2047.0000,2047.0000,,,,
1.0516,79,0,-85.5105,-130.4102,220.5207,-0.0406,-0.0011,-0.0984,0.9943,2047.0000,2047.0000,2047.0000,,,,
1.0648,79,0,-85.5105,-130.4102,220.5207,-0.0406,-0.0011,-0.0984,0.9943,2047.0000,2047.0000,2047.0000,,,,
1.0751,79,0,-85.5105,-130.4102,220.5207,-0.0406,-0.0011,-0.0984,0.9943,2047.0000,2047.0000,2047.0000,,,,
1.0872,79,0,-85.0644,-130.5783,220.4684,-0.0402,-0.0006,-0.0976,0.9944,2047.0000,2047.0000,2047.0000,,,,
1.0957,79,0,-85.0644,-130.5783,220.4684,-0.0402,-0.0006,-0.0976,0.9944,2047.0000,2047.0000,2047.0000,,,,
1.1082,79,0,-85.0644,-130.5783,220.4684,-0.0402,-0.0006,-0.0976,0.9944,2047.0000,2047.0000,2047.0000,,,,
1.1195,79,0,-85.0644,-130.5783,220.4684,-0.0402,-0.0006,-0.0976,0.9944,2047.0000,2047.0000,2047.0000,,,,
1.1313,79,0,-85.0644,-130.5783,220.4684,-0.0402,-0.0006,-0.0976,0.9944,2047.0000,2047.0000,2047.0000,,,,
1.1442,79,0,-84.6261,-130.3193,220.8338,-0.0406,-0.0005,-0.0968,0.9945,2047.0000,2047.0000,2047.0000,,,,
1.1560,79,0,-84.6261,-130.3193,220.8338,-0.0406,-0.0005,-0.0968,0.9945,2047.0000,2047.0000,2047.0000,,,,
1.1642,79,0,-84.6261,-130.3193,220.8338,-0.0406,-0.0005,-0.0968,0.9945,2047.0000,2047.0000,2047.0000,,,,
1.1758,79,0,-84.6261,-130.3193,220.8338,-0.0406,-0.0005,-0.0968,0.9945,2047.0000,2047.0000,2047.0000,,,,
1.1870,79,0,-84.6261,-130.3193,220.8338,-0.0406,-0.0005,-0.0968,0.9945,2047.0000,2047.0000,2047.0000,,,,
1.1995,79,0,-84.3490,-129.8419,221.1805,-0.0395,0.0009,-0.0963,0.9946,2047.0000,2047.0000,2047.0000,,,,
1.2113,79,0,-84.3490,-129.8419,221.1805,-0.0395,0.0009,-0.0963,0.9946,2047.0000,2047.0000,2047.0000,,,,
1.2231,79,0,-84.3490,-129.8419,221.1805,-0.0395,0.0009,-0.0963,0.9946,2047.0000,2047.0000,2047.0000,,,,
