t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.4402,343,0,-139.7781,-56.8683,587.7208,0.5504,0.3528,-0.1816,0.7346,1853.0000,1125.0000,1863.0000,,,,
0.4517,343,0,15.3105,31.4305,653.9839,0.1917,-0.3502,-0.1124,0.9099,1853.0000,1111.0000,1863.0000,,,,
0.4636,343,0,15.3105,31.4305,653.9839,0.1917,-0.3502,-0.1124,0.9099,1853.0000,1130.0000,1863.0000,,,,
0.4757,343,0,15.3105,31.4305,653.9839,0.1917,-0.3502,-0.1124,0.9099,1853.0000,1143.0000,1863.0000,,,,
0.4884,343,0,-160.8410,-23.3893,756.7341,0.4321,0.2789,-0.1090,0.8507,1853.0000,1148.0000,1863.0000,,,,
0.4965,343,0,-160.8410,-23.3893,756.7341,0.4321,0.2789,-0.1090,0.8507,1853.0000,1136.0000,1863.0000,,,,
0.5078,343,0,-160.8410,-23.3893,756.7341,0.4321,0.2789,-0.1090,0.8507,1853.0000,1118.0000,1863.0000,,,,
0.5202,343,0,-160.8410,-23.3893,756.7341,0.4321,0.2789,-0.1090,0.8507,1853.0000,1099.0000,1863.0000,,,,
0.5320,343,0,-63.9747,-8.8795,721.3825,0.3818,-0.1854,-0.0462,0.9043,1853.0000,1081.0000,1863.0000,,,,
0.5440,343,0,-63.9747,-8.8795,721.3825,0.3818,-0.1854,-0.0462,0.9043,1853.0000,1073.0000,1863.0000,,,,
0.5554,343,0,-63.9747,-8.8795,721.3825,0.3818,-0.1854,-0.0462,0.9043,1853.0000,1063.0000,1863.0000,,,,
0.5645,343,0,-59.3837,-58.1102,510.9673,-0.3163,-0.1894,-0.0481,0.9283,1853.0000,1057.0000,1863.0000,,,,
0.5759,343,0,-59.3837,-58.1102,510.9673,-0.3163,-0.1894,-0.0481,0.9283,1853.0000,1079.0000,1863.0000,,,,
0.5887,343,0,-59.3837,-58.1102,510.9673,-0.3163,-0.1894,-0.0481,0.9283,1853.0000,1097.0000,1863.0000,,,,
0.6000,343,0,-59.3837,-58.1102,510.9673,-0.3163,-0.1894,-0.0481,0.9283,1853.0000,1106.0000,1863.0000,,,,
0.6123,343,0,-81.5515,-35.8202,591.5756,-0.1889,-0.1845,-0.1271,0.9561,1853.0000,1110.0000,1863.0000,,,,
0.6210,343,0,-81.5515,-35.8202,591.5756,-0.1889,-0.1845,-0.1271,0.9561,1853.0000,1101.0000,1863.0000,,,,
0.6318,343,0,-81.5515,-35.8202,591.5756,-0.1889,-0.1845,-0.1271,0.9561,1853.0000,1089.0000,1863.0000,,,,
0.6454,343,0,-69.4654,-21.9433,516.2327,-0.3304,-0.1894,-0.0988,0.9194,1853.0000,1077.0000,1863.0000,,,,
0.6571,343,0,-69.4654,-21.9433,516.2327,-0.3304,-0.1894,-0.0988,0.9194,1853.0000,1093.0000,1863.0000,,,,
0.6685,343,0,-69.4654,-21.9433,516.2327,-0.3304,-0.1894,-0.0988,0.9194,1853.0000,1103.0000,1863.0000,,,,
0.6799,343,0,-69.4654,-21.9433,516.2327,-0.3304,-0.1894,-0.0988,0.9194,1853.0000,1110.0000,1863.0000,,,,
0.6882,343,0,-99.2938,-20.2171,655.4970,-0.0665,0.1152,-0.0349,0.9905,1853.0000,1113.0000,1863.0000,,,,
0.6997,343,0,-99.2938,-20.2171,655.4970,-0.0665,0.1152,-0.0349,0.9905,1853.0000,1123.0000,1863.0000,,,,
0.7118,343,0,-99.2938,-20.2171,655.4970,-0.0665,0.1152,-0.0349,0.9905,1853.0000,1129.0000,1863.0000,,,,
0.7235,343,0,-22.1411,-55.5153,792.6108,0.4016,0.4253,-0.1371,0.7994,1853.0000,1133.0000,1863.0000,,,,
0.7363,343,0,-22.1411,-55.5153,792.6108,0.4016,0.4253,-0.1371,0.7994,1853.0000,1156.0000,1863.0000,,,,
0.7475,343,0,-22.1411,-55.5153,792.6108,0.4016,0.4253,-0.1371,0.7994,1853.0000,1171.0000,1863.0000,,,,
0.7569,343,0,-22.1411,-55.5153,792.6108,0.4016,0.4253,-0.1371,0.7994,1853.0000,1179.0000,1863.0000,,,,
0.7680,343,0,-42.5707,-19.0767,589.3279,-0.0588,0.0405,-0.0458,0.9964,1853.0000,1189.0000,1863.0000,,,,
